Term,DocID
ml,1.txt -> 13.txt -> 14.txt -> 18.txt -> 2.txt -> 7.txt -> 8.txt -> 9.txt
kolla,1.txt
writing-review,1.txt
byreceiv,1.txt
io,1.txt -> 16.txt -> 17.txt -> 18.txt -> 23.txt -> 25.txt
donahu,1.txt -> 16.txt -> 3.txt -> 7.txt
kiknstlich,1.txt
thu,1.txt -> 12.txt -> 15.txt -> 16.txt -> 17.txt -> 18.txt -> 2.txt -> 21.txt -> 22.txt -> 25.txt -> 26.txt -> 3.txt -> 7.txt -> 8.txt
histo-gram,1.txt
vs,1.txt -> 12.txt -> 17.txt -> 3.txt
program,1.txt -> 12.txt -> 13.txt -> 14.txt -> 16.txt -> 18.txt -> 22.txt -> 26.txt -> 3.txt -> 7.txt
mean,1.txt -> 11.txt -> 12.txt -> 13.txt -> 14.txt -> 15.txt -> 16.txt -> 17.txt -> 21.txt -> 22.txt -> 23.txt -> 25.txt -> 26.txt -> 3.txt -> 7.txt -> 8.txt -> 9.txt
me,1.txt -> 16.txt -> 2.txt -> 22.txt -> 26.txt
long,1.txt -> 11.txt -> 12.txt -> 15.txt -> 16.txt -> 17.txt -> 18.txt -> 2.txt -> 21.txt -> 22.txt -> 24.txt -> 26.txt -> 3.txt -> 7.txt
hasl,1.txt
zhou,1.txt -> 16.txt -> 18.txt -> 2.txt -> 21.txt -> 22.txt -> 24.txt -> 26.txt -> 7.txt -> 8.txt
outcom,1.txt -> 26.txt -> 7.txt -> 8.txt -> 9.txt
context-awar,1.txt
term,1.txt -> 11.txt -> 12.txt -> 13.txt -> 14.txt -> 15.txt -> 16.txt -> 17.txt -> 2.txt -> 21.txt -> 22.txt -> 23.txt -> 24.txt -> 25.txt -> 26.txt -> 3.txt -> 7.txt -> 8.txt -> 9.txt
switzerland,1.txt
reproduct,1.txt -> 8.txt
flow,1.txt -> 12.txt
websit,1.txt -> 22.txt -> 3.txt
while,1.txt -> 11.txt -> 12.txt -> 13.txt -> 14.txt -> 15.txt -> 16.txt -> 17.txt -> 18.txt -> 2.txt -> 21.txt -> 22.txt -> 23.txt -> 25.txt -> 26.txt -> 3.txt -> 7.txt -> 8.txt -> 9.txt
user-bas,1.txt
garnelo,1.txt -> 7.txt
their,1.txt -> 11.txt -> 12.txt -> 13.txt -> 14.txt -> 15.txt -> 16.txt -> 17.txt -> 18.txt -> 2.txt -> 21.txt -> 22.txt -> 23.txt -> 24.txt -> 25.txt -> 26.txt -> 3.txt -> 7.txt -> 8.txt -> 9.txt
mycin,1.txt
applic,1.txt -> 12.txt -> 13.txt -> 14.txt -> 15.txt -> 16.txt -> 17.txt -> 18.txt -> 2.txt -> 21.txt -> 22.txt -> 23.txt -> 24.txt -> 25.txt -> 26.txt -> 3.txt -> 7.txt -> 8.txt -> 9.txt
debat,1.txt -> 7.txt
slight,1.txt -> 8.txt
vetr,1.txt
reusabl,1.txt -> 7.txt
today,1.txt -> 12.txt -> 16.txt -> 2.txt -> 3.txt
problem-solv,1.txt
inasp/hinari,1.txt
global,1.txt -> 15.txt -> 16.txt -> 2.txt -> 21.txt -> 22.txt -> 7.txt -> 8.txt
strategi,1.txt -> 12.txt -> 15.txt -> 16.txt -> 2.txt -> 21.txt -> 22.txt -> 24.txt -> 26.txt -> 3.txt -> 7.txt -> 8.txt
clearli,1.txt -> 12.txt -> 15.txt -> 17.txt -> 21.txt -> 7.txt -> 9.txt
sys-tem,1.txt
abil,1.txt -> 12.txt -> 13.txt -> 14.txt -> 16.txt -> 2.txt -> 21.txt -> 22.txt -> 25.txt -> 26.txt -> 7.txt -> 8.txt -> 9.txt
real,1.txt -> 12.txt -> 17.txt -> 18.txt -> 21.txt -> 22.txt -> 24.txt -> 26.txt -> 3.txt -> 7.txt
transit,1.txt -> 12.txt -> 13.txt -> 14.txt -> 18.txt -> 7.txt
tensor,1.txt -> 16.txt -> 2.txt -> 7.txt
resembl,1.txt -> 7.txt -> 8.txt
pu,1.txt -> 22.txt
sparsiti,1.txt -> 21.txt -> 22.txt -> 24.txt -> 26.txt -> 7.txt
tickl,1.txt -> 7.txt
iui,1.txt
recommenda-,1.txt -> 18.txt
24th,1.txt -> 24.txt -> 7.txt
mit,1.txt -> 26.txt -> 7.txt
contrast,1.txt -> 12.txt -> 15.txt -> 2.txt -> 21.txt -> 22.txt -> 24.txt -> 3.txt -> 7.txt -> 8.txt
eight,1.txt -> 17.txt -> 22.txt -> 25.txt -> 7.txt
w.,1.txt -> 12.txt -> 13.txt -> 14.txt -> 15.txt -> 2.txt -> 22.txt -> 23.txt -> 24.txt -> 25.txt -> 26.txt -> 3.txt -> 7.txt
transmis-,1.txt
kouki,1.txt
sc,1.txt -> 16.txt -> 2.txt -> 24.txt
