Term,DocID,Positions
overview,1,"[0, 639, 694, 719, 761, 4531, 6757, 7931, 8041]"
overview,12,"[390, 4504, 6589]"
overview,15,"[951, 1027, 3571, 3700]"
overview,16,"[646, 690, 842, 4971, 5485, 6469, 6733]"
overview,17,[6134]
overview,2,"[2328, 3738, 5868]"
overview,22,[62]
overview,7,"[197, 1027, 1126, 1472, 2750, 6499, 13296, 14146, 16623, 17153, 18867, 21207, 21484, 21673, 21863, 26781, 28367]"
histor,1,"[1, 153, 620, 6756, 7930, 8040, 10816]"
histor,12,"[454, 6683]"
histor,13,[2092]
histor,14,[2092]
histor,15,"[2395, 2526, 2537, 2606, 2638, 2671, 2683, 3816, 3874, 4388, 4645, 4655, 4724, 4981, 5005, 5047, 5325]"
histor,16,"[1532, 1634]"
histor,2,[425]
histor,21,[2989]
histor,3,[810]
histor,7,[9764]
perspect,1,"[2, 154, 621, 645, 772, 824, 7275, 7944, 8735, 9134, 10817]"
perspect,12,"[3373, 12143]"
perspect,17,[6402]
perspect,21,"[124, 126, 147, 490, 931, 1038, 1058, 1083, 1116, 6036]"
perspect,22,"[2, 86, 192, 642, 663, 1241, 1321, 1471, 1701, 1933, 2457, 3015, 3618, 4191, 4200, 4751, 5386, 6036, 6629, 7249, 7752, 8349, 8825, 9510, 10093, 10596, 11053, 11198, 11654, 12428, 13200]"
perspect,26,[2072]
perspect,3,[2268]
perspect,7,"[1512, 3147, 8227, 12582, 16986, 17471, 18877, 20322, 21279, 21802, 22040, 22568, 26919, 27203, 28190, 28247]"
perspect,9,"[1130, 1237, 1249, 1300]"
